txn_id,created_at,payment_method,amount,monthly_volume_to_date,is_refund,refund_hours_after_txn,is_instant_settlement,risk_rating,fee_billed,gst_billed,total_billed
RZP_TXN_0001,2025-08-02 11:15:00,UPI,1000.0,85000.0,False,,False,LOW,0.0,0.0,0.0
RZP_TXN_0002,2025-08-03 11:15:00,DOMESTIC_CARD,3500.0,120000.0,False,,False,LOW,70.0,12.6,82.6
RZP_TXN_0003,2025-08-04 11:15:00,NETBANKING,15000.0,155000.0,False,,False,LOW,225.0,40.5,265.5
RZP_TXN_0004,2025-08-05 11:15:00,INTERNATIONAL_CARD,25000.0,190000.0,False,,False,LOW,757.0,136.26,893.26
RZP_TXN_0005,2025-08-06 11:15:00,WALLET,1200.0,225000.0,False,,False,LOW,24.0,4.32,28.32
RZP_TXN_0006,2025-08-07 11:15:00,DOMESTIC_CARD,8000.0,260000.0,False,,False,LOW,160.0,28.8,188.8
RZP_TXN_0007,2025-08-08 11:15:00,UPI,5000.0,295000.0,False,,False,LOW,0.0,0.0,0.0
RZP_TXN_0008,2025-08-09 11:15:00,NETBANKING,3000.0,330000.0,False,,False,LOW,45.0,8.1,53.1
RZP_TXN_0009,2025-08-10 11:15:00,INTERNATIONAL_CARD,10000.0,365000.0,False,,False,LOW,307.0,55.26,362.26
RZP_TXN_0010,2025-08-11 11:15:00,WALLET,2500.0,400000.0,True,36.0,False,LOW,50.0,9.0,59.0
RZP_TXN_0011,2025-08-12 11:15:00,DOMESTIC_CARD,15000.0,435000.0,False,,True,LOW,262.5,47.25,309.75
RZP_TXN_0012,2025-08-13 11:15:00,NETBANKING,5000.0,505000.0,False,,False,LOW,75.0,13.5,88.5
RZP_TXN_0013,2025-08-14 11:15:00,INTERNATIONAL_CARD,50000.0,540000.0,False,,False,LOW,1507.0,271.26,1778.26
RZP_TXN_0014,2025-08-15 11:15:00,UPI,3000.0,575000.0,False,,True,LOW,4.5,0.81,5.31
RZP_TXN_0015,2025-08-16 11:15:00,WALLET,1000.0,610000.0,False,,False,LOW,20.0,3.6,23.6
RZP_TXN_0016,2025-08-17 11:15:00,DOMESTIC_CARD,20000.0,645000.0,False,,False,LOW,400.0,72.0,472.0
RZP_TXN_0017,2025-08-18 11:15:00,NETBANKING,10000.0,680000.0,False,,True,LOW,150.0,27.0,177.0
RZP_TXN_0018,2025-08-19 11:15:00,INTERNATIONAL_CARD,15000.0,715000.0,False,,False,LOW,457.0,82.26,539.26
RZP_TXN_0019,2025-08-20 11:15:00,WALLET,3500.0,750000.0,False,,False,LOW,70.0,12.6,82.6
RZP_TXN_0020,2025-08-21 11:15:00,DOMESTIC_CARD,25000.0,785000.0,False,,True,LOW,437.5,78.75,516.25
