txn_id,created_at,payment_method,amount,monthly_volume_to_date,is_refund,refund_hours_after_txn,is_instant_settlement,risk_rating,fee_billed,gst_billed,total_billed
ADY_TXN_0001,2025-08-02 11:15:00,DOMESTIC_CARD,100.0,8500.0,False,,False,LOW,1.70,0.0,1.70
ADY_TXN_0002,2025-08-03 11:15:00,INTERNATIONAL_CARD,250.0,12000.0,False,,False,LOW,2.90,0.0,2.90
ADY_TXN_0003,2025-08-04 11:15:00,LOCAL_METHOD,50.0,15500.0,False,,False,LOW,1.00,0.0,1.00
ADY_TXN_0004,2025-08-05 11:15:00,BANK_TRANSFER,5000.0,19000.0,False,,False,LOW,15.20,0.0,15.20
ADY_TXN_0005,2025-08-06 11:15:00,DOMESTIC_CARD,75.0,22500.0,False,,False,LOW,1.38,0.0,1.38
ADY_TXN_0006,2025-08-07 11:15:00,INTERNATIONAL_CARD,500.0,26000.0,False,,False,LOW,5.65,0.0,5.65
ADY_TXN_0007,2025-08-08 11:15:00,LOCAL_METHOD,120.0,29500.0,False,,False,LOW,2.05,0.0,2.05
ADY_TXN_0008,2025-08-09 11:15:00,BANK_TRANSFER,2500.0,33000.0,False,,False,LOW,7.70,0.0,7.70
ADY_TXN_0009,2025-08-10 11:15:00,DOMESTIC_CARD,200.0,36500.0,False,,False,LOW,3.30,0.0,3.30
ADY_TXN_0010,2025-08-11 11:15:00,INTERNATIONAL_CARD,1000.0,40000.0,True,12.0,False,LOW,0.0,0.0,0.0
ADY_TXN_0011,2025-08-12 11:15:00,LOCAL_METHOD,85.0,43500.0,False,,False,LOW,1.53,0.0,1.53
ADY_TXN_0012,2025-08-13 11:15:00,BANK_TRANSFER,10000.0,50500.0,False,,False,LOW,30.20,0.0,30.20
ADY_TXN_0013,2025-08-14 11:15:00,DOMESTIC_CARD,350.0,54000.0,False,,False,LOW,5.75,0.0,5.75
ADY_TXN_0014,2025-08-15 11:15:00,INTERNATIONAL_CARD,2000.0,61000.0,False,,False,LOW,22.15,0.0,22.15
ADY_TXN_0015,2025-08-16 11:15:00,LOCAL_METHOD,150.0,64500.0,False,,False,LOW,2.50,0.0,2.50
ADY_TXN_0016,2025-08-17 11:15:00,BANK_TRANSFER,750.0,68000.0,False,,False,LOW,2.45,0.0,2.45
ADY_TXN_0017,2025-08-18 11:15:00,DOMESTIC_CARD,500.0,71500.0,False,,False,LOW,8.20,0.0,8.20
ADY_TXN_0018,2025-08-19 11:15:00,INTERNATIONAL_CARD,750.0,75000.0,False,,False,LOW,8.40,0.0,8.40
ADY_TXN_0019,2025-08-20 11:15:00,LOCAL_METHOD,300.0,78500.0,False,,False,LOW,4.75,0.0,4.75
ADY_TXN_0020,2025-08-21 11:15:00,BANK_TRANSFER,500.0,82000.0,False,,False,LOW,1.70,0.0,1.70
