txn_id,created_at,payment_method,amount,monthly_volume_to_date,is_refund,refund_hours_after_txn,is_instant_settlement,risk_rating,fee_billed,gst_billed,total_billed
WP_TXN_0001,2025-08-02 11:15:00,DOMESTIC_CARD,100.0,8500.0,False,,False,LOW,2.90,0.0,2.90
WP_TXN_0002,2025-08-03 11:15:00,INTERNATIONAL_CARD,250.0,12000.0,False,,False,LOW,9.05,0.0,9.05
WP_TXN_0003,2025-08-04 11:15:00,MULTI_CURRENCY,5000.0,15500.0,False,,False,LOW,50.0,0.0,50.0
WP_TXN_0004,2025-08-05 11:15:00,ACH,10000.0,19000.0,False,,False,LOW,80.25,0.0,80.25
WP_TXN_0005,2025-08-06 11:15:00,DOMESTIC_CARD,75.0,22500.0,False,,False,LOW,2.18,0.0,2.18
WP_TXN_0006,2025-08-07 11:15:00,INTERNATIONAL_CARD,500.0,26000.0,False,,False,LOW,17.80,0.0,17.80
WP_TXN_0007,2025-08-08 11:15:00,MULTI_CURRENCY,2500.0,29500.0,False,,False,LOW,25.0,0.0,25.0
WP_TXN_0008,2025-08-09 11:15:00,ACH,500.0,33000.0,False,,False,LOW,4.25,0.0,4.25
WP_TXN_0009,2025-08-10 11:15:00,DOMESTIC_CARD,200.0,36500.0,False,,False,LOW,5.80,0.0,5.80
WP_TXN_0010,2025-08-11 11:15:00,INTERNATIONAL_CARD,1000.0,40000.0,True,36.0,False,LOW,5.0,0.0,5.0
WP_TXN_0011,2025-08-12 11:15:00,MULTI_CURRENCY,1500.0,43500.0,False,,False,LOW,15.0,0.0,15.0
WP_TXN_0012,2025-08-13 11:15:00,ACH,2000.0,50500.0,False,,False,LOW,16.25,0.0,16.25
WP_TXN_0013,2025-08-14 11:15:00,DOMESTIC_CARD,350.0,54000.0,False,,False,LOW,10.15,0.0,10.15
WP_TXN_0014,2025-08-15 11:15:00,INTERNATIONAL_CARD,2000.0,61000.0,False,,False,LOW,70.30,0.0,70.30
WP_TXN_0015,2025-08-16 11:15:00,MULTI_CURRENCY,500.0,64500.0,False,,False,LOW,5.0,0.0,5.0
WP_TXN_0016,2025-08-17 11:15:00,DOMESTIC_CARD,500.0,68000.0,False,,False,LOW,14.50,0.0,14.50
WP_TXN_0017,2025-08-18 11:15:00,INTERNATIONAL_CARD,750.0,71500.0,False,,False,LOW,26.55,0.0,26.55
WP_TXN_0018,2025-08-19 11:15:00,ACH,3000.0,75000.0,False,,False,LOW,24.25,0.0,24.25
WP_TXN_0019,2025-08-20 11:15:00,DOMESTIC_CARD,1000.0,78500.0,False,,False,LOW,29.00,0.0,29.00
WP_TXN_0020,2025-08-21 11:15:00,INTERNATIONAL_CARD,500.0,82000.0,False,,False,LOW,17.80,0.0,17.80
