txn_id,created_at,payment_method,amount,monthly_volume_to_date,is_refund,refund_hours_after_txn,is_instant_settlement,risk_rating,fee_billed,gst_billed,total_billed
JMN_TXN_0001,2026-03-03 10:30:00,WALLET,1000,1000,False,,False,LOW,21.0,3.78,24.78
JMN_TXN_0002,2026-03-04 08:45:00,DOMESTIC_CARD,850,1850,False,,False,LOW,20.15,3.63,23.78
JMN_TXN_0003,2026-03-05 11:15:00,INTERNATIONAL_CARD,25000,26850,False,,True,LOW,775.0,139.5,914.5
JMN_TXN_0004,2026-03-06 08:45:00,DOMESTIC_CARD,650,27500,False,,False,LOW,12.35,2.22,14.57
JMN_TXN_0005,2026-03-07 11:30:00,WALLET,-35000,62500,True,4.0,False,LOW,735.0,132.3,867.3
JMN_TXN_0006,2026-03-08 10:45:00,DOMESTIC_CARD,-14500,77000,True,48.0,False,LOW,275.5,49.59,325.09
JMN_TXN_0007,2026-03-09 09:15:00,WALLET,850,77850,False,,False,LOW,17.85,3.21,21.06
JMN_TXN_0008,2026-03-10 10:15:00,INTERNATIONAL_CARD,25000,102850,False,,False,LOW,775.0,139.5,914.5
JMN_TXN_0009,2026-03-11 08:45:00,NETBANKING,20000,122850,False,,False,LOW,120.0,21.6,141.6
JMN_TXN_0010,2026-03-12 09:15:00,NETBANKING,450,123300,False,,False,LOW,2.7,0.49,3.19
JMN_TXN_0011,2026-03-13 09:55:00,UPI,500,123800,False,,False,LOW,0.75,0.14,0.89
JMN_TXN_0012,2026-03-14 08:45:00,DOMESTIC_CARD,850,124650,False,,False,LOW,16.15,2.91,19.06
JMN_TXN_0013,2026-03-15 08:45:00,DOMESTIC_CARD,35000,159650,False,,False,MEDIUM,595.0,107.1,702.1
JMN_TXN_0014,2026-03-16 10:15:00,UPI,25000,184650,False,,False,LOW,25.0,4.5,29.5
JMN_TXN_0015,2026-03-17 10:05:00,UPI,18000,202650,False,,False,LOW,18.0,3.24,21.24
JMN_TXN_0016,2026-03-18 08:45:00,NETBANKING,5000,207650,False,,False,LOW,25.0,4.5,29.5
JMN_TXN_0017,2026-03-19 09:55:00,UPI,500,208150,False,,False,HIGH,0.5,0.09,0.59
JMN_TXN_0018,2026-03-20 11:15:00,NETBANKING,1500,209650,False,,False,LOW,7.5,1.35,8.85
JMN_TXN_0019,2026-03-21 09:15:00,UPI,500,210150,False,,False,LOW,0.5,0.09,0.59
JMN_TXN_0020,2026-03-22 11:05:00,DOMESTIC_CARD,2500,212650,False,,False,LOW,42.5,7.65,50.15
JMN_TXN_0021,2026-03-23 08:45:00,UPI,18000,230650,False,,False,LOW,63.0,11.34,74.34
JMN_TXN_0022,2026-03-24 09:05:00,UPI,5000,235650,False,,False,MEDIUM,5.0,0.9,5.9
JMN_TXN_0023,2026-03-25 11:15:00,INTERNATIONAL_CARD,75000,310650,False,,True,LOW,2175.0,391.5,2566.5
JMN_TXN_0024,2026-03-26 09:30:00,INTERNATIONAL_CARD,75000,385650,False,,True,LOW,2175.0,391.5,2566.5
JMN_TXN_0025,2026-03-27 09:45:00,DOMESTIC_CARD,5000,390650,False,,False,HIGH,85.0,15.3,100.3
JMN_TXN_0026,2026-03-28 09:15:00,NETBANKING,2500,393150,False,,False,LOW,12.5,2.25,14.75
JMN_TXN_0027,2026-03-29 11:15:00,DOMESTIC_CARD,6500,399650,False,,False,LOW,221.0,39.78,260.78
JMN_TXN_0028,2026-03-03 08:55:00,NETBANKING,5000,404650,False,,False,LOW,25.0,4.5,29.5
JMN_TXN_0029,2026-03-04 10:45:00,DOMESTIC_CARD,650,405300,False,,False,LOW,22.1,3.98,26.08
JMN_TXN_0030,2026-03-05 10:45:00,UPI,250,405550,False,,False,MEDIUM,0.25,0.04,0.29
JMN_TXN_0031,2026-03-06 08:55:00,UPI,750,406300,False,,False,LOW,0.75,0.14,0.89
JMN_TXN_0032,2026-03-07 11:05:00,UPI,-40000,446300,True,48.0,False,LOW,60.0,10.8,70.8
JMN_TXN_0033,2026-03-08 09:45:00,UPI,40000,486300,False,,False,LOW,40.0,7.2,47.2
JMN_TXN_0034,2026-03-09 09:15:00,DOMESTIC_CARD,850,487150,False,,False,LOW,14.45,2.6,17.05
JMN_TXN_0035,2026-03-10 09:45:00,DOMESTIC_CARD,2500,489650,False,,False,MEDIUM,42.5,7.65,50.15
JMN_TXN_0036,2026-03-11 09:15:00,NETBANKING,650,490300,False,,False,MEDIUM,7.25,1.3,8.55
JMN_TXN_0037,2026-03-12 09:05:00,DOMESTIC_CARD,1500,491800,False,,False,LOW,25.5,4.59,30.09
JMN_TXN_0038,2026-03-13 09:45:00,DOMESTIC_CARD,10000,501800,False,,False,HIGH,150.0,27.0,177.0
JMN_TXN_0039,2026-03-14 11:30:00,NETBANKING,450,502250,False,,False,MEDIUM,1.8,0.32,2.12
JMN_TXN_0040,2026-03-15 10:55:00,NETBANKING,450,502700,False,,True,MEDIUM,1.8,0.32,2.12
JMN_TXN_0041,2026-03-16 11:30:00,NETBANKING,850,503550,False,,False,MEDIUM,3.4,0.61,4.01
JMN_TXN_0042,2026-03-17 09:45:00,NETBANKING,6500,510050,False,,False,LOW,26.0,4.68,30.68
JMN_TXN_0043,2026-03-18 08:45:00,UPI,5000,515050,False,,False,LOW,4.0,0.72,4.72
JMN_TXN_0044,2026-03-19 10:45:00,UPI,-8500,523550,True,24.0,False,MEDIUM,28.05,5.05,33.1
JMN_TXN_0045,2026-03-20 09:30:00,INTERNATIONAL_CARD,75000,598550,False,,True,LOW,1950.0,351.0,2301.0
JMN_TXN_0046,2026-03-21 09:30:00,UPI,2500,601050,False,,False,LOW,2.0,0.36,2.36
JMN_TXN_0047,2026-03-22 08:55:00,INTERNATIONAL_CARD,2500,603550,False,,False,LOW,71.25,12.82,84.07
JMN_TXN_0048,2026-03-23 09:05:00,UPI,250,603800,False,,False,LOW,0.2,0.04,0.24
JMN_TXN_0049,2026-03-24 09:30:00,NETBANKING,1500,605300,False,,False,LOW,6.0,1.08,7.08
