txn_id,created_at,payment_method,amount,monthly_volume_to_date,is_refund,refund_hours_after_txn,is_instant_settlement,risk_rating,fee_billed,gst_billed,total_billed
CRH_TXN_0001,2026-04-02 14:50:00,NETBANKING,25000,25000,False,,False,LOW,125.0,22.5,147.5
CRH_TXN_0002,2026-04-03 14:50:00,UPI,-500,25500,True,2.0,False,LOW,0.6,0.11,0.71
CRH_TXN_0003,2026-04-04 12:20:00,UPI,8500,34000,False,,False,MEDIUM,10.2,1.84,12.04
CRH_TXN_0004,2026-04-05 14:20:00,INTERNATIONAL_CARD,12000,46000,False,,False,LOW,360.0,64.8,424.8
CRH_TXN_0005,2026-04-06 13:40:00,DOMESTIC_CARD,14500,60500,False,,False,LOW,261.0,46.98,307.98
CRH_TXN_0006,2026-04-07 12:50:00,UPI,18000,78500,False,,False,HIGH,21.6,3.89,25.49
CRH_TXN_0007,2026-04-08 12:50:00,DOMESTIC_CARD,2500,81000,False,,False,LOW,45.0,8.1,53.1
CRH_TXN_0008,2026-04-09 12:30:00,DOMESTIC_CARD,6500,87500,False,,False,LOW,104.0,18.72,122.72
CRH_TXN_0009,2026-04-10 12:50:00,DOMESTIC_CARD,8500,96000,False,,False,HIGH,153.0,27.54,180.54
CRH_TXN_0010,2026-04-11 12:30:00,NETBANKING,6500,102500,False,,False,LOW,32.5,5.85,38.35
CRH_TXN_0011,2026-04-12 15:05:00,UPI,2500,105000,False,,False,LOW,3.0,0.54,3.54
CRH_TXN_0012,2026-04-13 13:50:00,INTERNATIONAL_CARD,-7500,112500,True,48.0,False,HIGH,225.0,40.5,265.5
CRH_TXN_0013,2026-04-14 13:05:00,UPI,750,113250,False,,False,LOW,0.9,0.16,1.06
CRH_TXN_0014,2026-04-15 13:30:00,UPI,250,113500,False,,False,LOW,0.3,0.05,0.35
CRH_TXN_0015,2026-04-16 12:20:00,WALLET,1000,114500,False,,False,LOW,20.0,3.6,23.6
CRH_TXN_0016,2026-04-17 12:30:00,UPI,1200,115700,False,,False,MEDIUM,1.44,0.26,1.7
CRH_TXN_0017,2026-04-18 12:40:00,INTERNATIONAL_CARD,18000,133700,False,,False,LOW,540.0,97.2,637.2
CRH_TXN_0018,2026-04-19 13:05:00,WALLET,-1000,134700,True,8.0,False,MEDIUM,20.0,3.6,23.6
CRH_TXN_0019,2026-04-20 13:30:00,WALLET,8500,143200,False,,False,LOW,170.0,30.6,200.6
CRH_TXN_0020,2026-04-21 12:30:00,UPI,25000,168200,False,,False,LOW,30.0,5.4,35.4
CRH_TXN_0021,2026-04-22 15:05:00,DOMESTIC_CARD,850,169050,False,,False,LOW,13.6,2.45,16.05
CRH_TXN_0022,2026-04-23 14:50:00,DOMESTIC_CARD,10000,179050,False,,False,LOW,180.0,32.4,212.4
CRH_TXN_0023,2026-04-24 13:05:00,NETBANKING,-1000,180050,True,36.0,False,MEDIUM,5.0,0.6,5.6
CRH_TXN_0024,2026-04-25 13:05:00,WALLET,10000,190050,False,,False,LOW,200.0,36.0,236.0
CRH_TXN_0025,2026-04-26 12:20:00,DOMESTIC_CARD,850,190900,False,,False,LOW,15.3,2.75,18.05
CRH_TXN_0026,2026-04-27 12:40:00,UPI,25000,215900,False,,False,LOW,30.0,5.4,35.4
CRH_TXN_0027,2026-04-28 14:50:00,NETBANKING,1000,216900,False,,False,LOW,4.0,0.72,4.72
CRH_TXN_0028,2026-04-02 12:30:00,DOMESTIC_CARD,20000,236900,False,,False,MEDIUM,360.0,43.2,403.2
CRH_TXN_0029,2026-04-03 14:05:00,DOMESTIC_CARD,1500,238400,False,,False,LOW,27.0,4.86,31.86
CRH_TXN_0030,2026-04-04 12:20:00,INTERNATIONAL_CARD,12000,250400,False,,False,MEDIUM,336.0,60.48,396.48
