txn_id,created_at,payment_method,amount,monthly_volume_to_date,is_refund,refund_hours_after_txn,is_instant_settlement,risk_rating,fee_billed,gst_billed,total_billed
MFH_TXN_0001,2026-05-01 17:50:00,WALLET,2500,2500,False,,False,LOW,57.5,10.35,67.85
MFH_TXN_0002,2026-05-02 16:35:00,NETBANKING,-2500,5000,True,12.0,False,LOW,17.5,3.15,20.65
MFH_TXN_0003,2026-05-03 16:25:00,UPI,250,5250,False,,False,HIGH,0.45,0.08,0.53
MFH_TXN_0004,2026-05-04 17:25:00,UPI,25000,30250,False,,False,MEDIUM,45.0,8.1,53.1
MFH_TXN_0005,2026-05-05 17:35:00,UPI,500,30750,False,,False,LOW,0.9,0.16,1.06
MFH_TXN_0006,2026-05-06 16:35:00,INTERNATIONAL_CARD,35000,65750,False,,False,LOW,1190.0,214.2,1404.2
MFH_TXN_0007,2026-05-07 18:05:00,UPI,12000,77750,False,,False,LOW,21.6,3.89,25.49
MFH_TXN_0008,2026-05-08 16:05:00,NETBANKING,14500,92250,False,,True,LOW,101.5,18.27,119.77
MFH_TXN_0009,2026-05-09 16:15:00,UPI,250,92500,False,,False,LOW,0.45,0.08,0.53
MFH_TXN_0010,2026-05-10 16:15:00,UPI,-12000,104500,True,4.0,False,MEDIUM,21.6,3.89,25.49
MFH_TXN_0011,2026-05-11 16:05:00,NETBANKING,-8500,113000,True,48.0,False,LOW,59.5,10.71,70.21
MFH_TXN_0012,2026-05-12 16:25:00,WALLET,450,113450,False,,False,MEDIUM,10.35,1.86,12.21
MFH_TXN_0013,2026-05-13 17:35:00,DOMESTIC_CARD,8500,121950,False,,True,MEDIUM,161.5,29.07,190.57
MFH_TXN_0014,2026-05-14 16:15:00,NETBANKING,10000,131950,False,,False,MEDIUM,55.0,9.9,64.9
MFH_TXN_0015,2026-05-15 17:35:00,UPI,25000,156950,False,,False,LOW,30.0,5.4,35.4
MFH_TXN_0016,2026-05-16 16:35:00,DOMESTIC_CARD,4000,160950,False,,False,LOW,76.0,13.68,89.68
MFH_TXN_0017,2026-05-17 18:15:00,NETBANKING,2500,163450,False,,False,LOW,13.75,2.48,16.23
MFH_TXN_0018,2026-05-18 17:15:00,INTERNATIONAL_CARD,12000,175450,False,,False,MEDIUM,372.0,66.96,438.96
MFH_TXN_0019,2026-05-19 16:15:00,UPI,500,175950,False,,True,LOW,0.6,0.11,0.71
MFH_TXN_0020,2026-05-20 18:50:00,DOMESTIC_CARD,450,176400,False,,False,MEDIUM,9.45,1.7,11.15
MFH_TXN_0021,2026-05-21 17:15:00,WALLET,5000,181400,False,,False,LOW,105.0,18.9,123.9
MFH_TXN_0022,2026-05-22 16:50:00,NETBANKING,850,182250,False,,False,LOW,4.67,0.84,5.51
