txn_id,created_at,payment_method,amount,monthly_volume_to_date,is_refund,refund_hours_after_txn,is_instant_settlement,risk_rating,fee_billed,gst_billed,total_billed
NCL_TXN_0001,2026-02-01 10:10:00,INTERNATIONAL_CARD,2500,2500,False,,False,LOW,80.0,14.4,94.4
NCL_TXN_0002,2026-02-02 10:55:00,WALLET,850,3350,False,,False,MEDIUM,18.7,3.37,22.07
NCL_TXN_0003,2026-02-03 10:30:00,UPI,25000,28350,False,,False,LOW,37.5,6.75,44.25
NCL_TXN_0004,2026-02-04 12:10:00,UPI,40000,68350,False,,False,LOW,80.0,14.4,94.4
NCL_TXN_0005,2026-02-05 12:55:00,DOMESTIC_CARD,450,68800,False,,False,LOW,9.0,1.62,10.62
NCL_TXN_0006,2026-02-06 12:10:00,UPI,-750,69550,True,24.0,False,LOW,1.5,0.27,1.77
NCL_TXN_0007,2026-02-07 10:30:00,NETBANKING,1000,70550,False,,False,HIGH,8.0,1.44,9.44
NCL_TXN_0008,2026-02-08 10:20:00,NETBANKING,6500,77050,False,,False,MEDIUM,52.0,9.36,61.36
NCL_TXN_0009,2026-02-09 11:55:00,NETBANKING,450,77500,False,,False,LOW,3.6,0.65,4.25
NCL_TXN_0010,2026-02-10 11:55:00,DOMESTIC_CARD,25000,102500,False,,False,LOW,450.0,81.0,531.0
NCL_TXN_0011,2026-02-11 11:40:00,DOMESTIC_CARD,25000,127500,False,,False,LOW,450.0,81.0,531.0
NCL_TXN_0012,2026-02-12 12:40:00,NETBANKING,650,128150,False,,False,MEDIUM,3.9,0.7,4.6
NCL_TXN_0013,2026-02-13 12:40:00,UPI,18000,146150,False,,False,LOW,27.0,4.86,31.86
NCL_TXN_0014,2026-02-14 12:55:00,WALLET,1500,147650,False,,False,LOW,30.0,5.4,35.4
NCL_TXN_0015,2026-02-15 10:30:00,WALLET,4000,151650,False,,False,LOW,88.0,15.84,103.84
NCL_TXN_0016,2026-02-16 10:20:00,DOMESTIC_CARD,450,152100,False,,False,MEDIUM,8.1,1.46,9.56
NCL_TXN_0017,2026-02-17 10:10:00,UPI,2500,154600,False,,False,HIGH,3.75,0.67,4.42
NCL_TXN_0018,2026-02-18 10:10:00,WALLET,-25000,179600,True,8.0,False,LOW,500.0,90.0,590.0
