txn_id,created_at,payment_method,amount,monthly_volume_to_date,is_refund,refund_hours_after_txn,is_instant_settlement,risk_rating,fee_billed,gst_billed,total_billed
OPS_TXN_0001,2026-06-02 09:55:00,UPI,1200,1200,False,,False,LOW,1.2,0.22,1.42
OPS_TXN_0002,2026-06-03 11:05:00,DOMESTIC_CARD,2500,3700,False,,False,HIGH,42.5,7.65,50.15
OPS_TXN_0003,2026-06-04 09:35:00,DOMESTIC_CARD,5000,8700,False,,False,LOW,75.0,13.5,88.5
OPS_TXN_0004,2026-06-05 12:20:00,NETBANKING,20000,28700,False,,False,MEDIUM,90.0,16.2,106.2
OPS_TXN_0005,2026-06-06 09:35:00,INTERNATIONAL_CARD,2500,31200,False,,False,LOW,72.5,13.05,85.55
OPS_TXN_0006,2026-06-07 12:05:00,NETBANKING,10000,41200,False,,False,LOW,45.0,8.1,53.1
OPS_TXN_0007,2026-06-08 10:05:00,DOMESTIC_CARD,25000,66200,False,,False,LOW,375.0,67.5,442.5
OPS_TXN_0008,2026-06-09 10:20:00,NETBANKING,1000,67200,False,,False,LOW,4.5,0.81,5.31
OPS_TXN_0009,2026-06-10 10:45:00,DOMESTIC_CARD,450,67650,False,,False,LOW,7.65,1.38,9.03
OPS_TXN_0010,2026-06-11 10:55:00,DOMESTIC_CARD,850,68500,False,,False,LOW,14.45,2.6,17.05
OPS_TXN_0011,2026-06-12 11:05:00,DOMESTIC_CARD,1000,69500,False,,True,LOW,17.0,3.06,20.06
OPS_TXN_0012,2026-06-13 11:05:00,UPI,18000,87500,False,,False,LOW,25.0,4.5,29.5
OPS_TXN_0013,2026-06-14 12:05:00,UPI,-750,88250,True,36.0,False,MEDIUM,0.75,0.14,0.89
OPS_TXN_0014,2026-06-15 11:05:00,NETBANKING,1000,89250,False,,False,MEDIUM,4.5,0.81,5.31
OPS_TXN_0015,2026-06-16 09:55:00,DOMESTIC_CARD,1000,90250,False,,False,LOW,17.0,3.06,20.06
OPS_TXN_0016,2026-06-17 11:55:00,NETBANKING,6500,96750,False,,False,HIGH,29.25,5.26,34.51
OPS_TXN_0017,2026-06-18 10:35:00,INTERNATIONAL_CARD,75000,171750,False,,False,HIGH,2175.0,391.5,2566.5
OPS_TXN_0018,2026-06-19 12:20:00,WALLET,4000,175750,False,,False,MEDIUM,76.0,13.68,89.68
OPS_TXN_0019,2026-06-20 11:05:00,UPI,1200,176950,False,,False,LOW,1.2,0.22,1.42
OPS_TXN_0020,2026-06-21 11:35:00,UPI,25000,201950,False,,False,MEDIUM,20.0,3.6,23.6
OPS_TXN_0021,2026-06-22 10:05:00,WALLET,650,202600,False,,False,LOW,11.05,1.99,13.04
OPS_TXN_0022,2026-06-23 09:55:00,DOMESTIC_CARD,4000,206600,False,,False,LOW,60.0,10.8,70.8
OPS_TXN_0023,2026-06-24 10:05:00,DOMESTIC_CARD,-6500,213100,True,2.0,False,LOW,97.5,17.55,115.05
OPS_TXN_0024,2026-06-25 09:55:00,NETBANKING,650,213750,False,,False,MEDIUM,2.27,0.41,2.68
OPS_TXN_0025,2026-06-26 09:45:00,UPI,5000,218750,False,,False,MEDIUM,4.0,0.72,4.72
OPS_TXN_0026,2026-06-27 09:55:00,DOMESTIC_CARD,1000,219750,False,,False,LOW,15.0,2.7,17.7
OPS_TXN_0027,2026-06-28 10:05:00,INTERNATIONAL_CARD,25000,244750,False,,False,LOW,675.0,121.5,796.5
OPS_TXN_0028,2026-06-02 11:55:00,NETBANKING,35000,279750,False,,False,LOW,122.5,22.05,144.55
OPS_TXN_0029,2026-06-03 10:55:00,UPI,2500,282250,False,,False,LOW,2.0,0.36,2.36
OPS_TXN_0030,2026-06-04 09:45:00,UPI,40000,322250,False,,False,LOW,32.0,5.76,37.76
OPS_TXN_0031,2026-06-05 09:55:00,DOMESTIC_CARD,2500,324750,False,,False,LOW,37.5,6.75,44.25
OPS_TXN_0032,2026-06-06 12:05:00,DOMESTIC_CARD,5000,329750,False,,False,LOW,75.0,13.5,88.5
OPS_TXN_0033,2026-06-07 10:05:00,INTERNATIONAL_CARD,12000,341750,False,,False,LOW,324.0,58.32,382.32
OPS_TXN_0034,2026-06-08 10:45:00,INTERNATIONAL_CARD,5000,346750,False,,False,LOW,135.0,24.3,159.3
OPS_TXN_0035,2026-06-09 12:05:00,INTERNATIONAL_CARD,2500,349250,False,,False,LOW,67.5,12.15,79.65
OPS_TXN_0036,2026-06-10 09:35:00,DOMESTIC_CARD,1000,350250,False,,False,LOW,15.0,2.7,17.7
OPS_TXN_0037,2026-06-11 10:05:00,INTERNATIONAL_CARD,50000,400250,False,,False,LOW,1350.0,243.0,1593.0
OPS_TXN_0038,2026-06-12 10:45:00,DOMESTIC_CARD,8500,408750,False,,False,LOW,127.5,22.95,150.45
OPS_TXN_0039,2026-06-13 10:35:00,DOMESTIC_CARD,35000,443750,False,,False,LOW,525.0,94.5,619.5
OPS_TXN_0040,2026-06-14 11:45:00,UPI,25000,468750,False,,False,LOW,82.5,14.85,97.35
OPS_TXN_0041,2026-06-15 11:45:00,NETBANKING,8500,477250,False,,False,LOW,29.75,5.35,35.1
OPS_TXN_0042,2026-06-16 11:35:00,DOMESTIC_CARD,35000,512250,False,,False,LOW,525.0,94.5,619.5
OPS_TXN_0043,2026-06-17 10:35:00,INTERNATIONAL_CARD,35000,547250,False,,False,LOW,945.0,170.1,1115.1
OPS_TXN_0044,2026-06-18 10:20:00,INTERNATIONAL_CARD,50000,597250,False,,False,LOW,1350.0,243.0,1593.0
